Timestamp,X,Y
2024-09-07 22:00:00.489,710,627
2024-09-07 22:00:00.496,712,628
2024-09-07 22:00:00.505,717,631
2024-09-07 22:00:00.512,724,636
2024-09-07 22:00:00.521,734,643
2024-09-07 22:00:00.528,743,649
2024-09-07 22:00:00.536,752,654
2024-09-07 22:00:00.543,759,659
2024-09-07 22:00:00.552,768,664
2024-09-07 22:00:00.559,777,669
2024-09-07 22:00:00.568,783,673
2024-09-07 22:00:00.576,792,678
2024-09-07 22:00:00.584,799,683
2024-09-07 22:00:00.592,807,688
2024-09-07 22:00:00.599,814,691
2024-09-07 22:00:00.608,821,695
2024-09-07 22:00:00.616,828,700
2024-09-07 22:00:00.641,832,704
2024-09-07 22:00:00.648,832,706
2024-09-07 22:00:00.657,825,708
2024-09-07 22:00:00.664,819,707
2024-09-07 22:00:00.672,816,705
2024-09-07 22:00:10.280,817,705
2024-09-07 22:00:10.288,819,705
2024-09-07 22:00:10.296,824,705
2024-09-07 22:00:10.480,827,705
2024-09-07 22:00:10.487,827,706
2024-09-07 22:00:10.496,823,706
2024-09-07 22:00:10.504,811,698
2024-09-07 22:00:10.512,805,693
2024-09-07 22:00:10.536,800,691
2024-09-07 22:00:10.600,800,690
2024-09-07 22:00:10.616,803,690
2024-09-07 22:00:10.632,807,690
2024-09-07 22:00:10.696,808,693
2024-09-07 22:00:10.736,809,695
2024-09-07 22:00:10.744,809,698
2024-09-07 22:00:10.753,808,701
2024-09-07 22:00:10.760,803,706
2024-09-07 22:00:10.769,798,714
2024-09-07 22:00:10.776,791,721
2024-09-07 22:00:10.785,786,730
2024-09-07 22:00:10.792,780,740
2024-09-07 22:00:10.800,773,751
2024-09-07 22:00:10.808,765,760
2024-09-07 22:00:10.817,756,769
2024-09-07 22:00:10.825,749,775
2024-09-07 22:00:10.832,739,783
2024-09-07 22:00:10.840,728,789
2024-09-07 22:00:10.849,715,794
2024-09-07 22:00:10.857,704,798
2024-09-07 22:00:10.864,695,801
2024-09-07 22:00:10.872,689,803
2024-09-07 22:00:10.879,685,804
2024-09-07 22:00:10.888,681,804
2024-09-07 22:00:10.895,675,804
2024-09-07 22:00:10.903,669,804
2024-09-07 22:00:10.911,659,801
2024-09-07 22:00:10.921,645,796
2024-09-07 22:00:10.928,628,788
2024-09-07 22:00:10.936,609,780
2024-09-07 22:00:10.944,590,770
2024-09-07 22:00:10.951,573,760
2024-09-07 22:00:10.959,558,750
2024-09-07 22:00:10.969,545,741
2024-09-07 22:00:10.976,535,733
2024-09-07 22:00:10.985,525,722
2024-09-07 22:00:10.992,514,708
2024-09-07 22:00:11.001,503,693
2024-09-07 22:00:11.008,490,676
2024-09-07 22:00:11.017,476,658
2024-09-07 22:00:11.025,465,642
2024-09-07 22:00:11.033,454,627
2024-09-07 22:00:11.041,445,613
2024-09-07 22:00:11.048,436,602
2024-09-07 22:00:11.057,431,593
2024-09-07 22:00:11.063,428,587
2024-09-07 22:00:11.073,423,578
2024-09-07 22:00:11.080,420,573
2024-09-07 22:00:11.089,416,570
2024-09-07 22:00:11.096,415,565
2024-09-07 22:00:11.104,413,561
2024-09-07 22:00:11.112,409,557
2024-09-07 22:00:11.121,406,552
2024-09-07 22:00:11.128,404,548
2024-09-07 22:00:11.137,401,546
2024-09-07 22:00:11.144,400,543
2024-09-07 22:00:11.152,400,540
2024-09-07 22:00:11.160,398,533
2024-09-07 22:00:11.169,398,527
2024-09-07 22:00:11.177,398,518
2024-09-07 22:00:11.185,398,510
2024-09-07 22:00:11.192,398,497
2024-09-07 22:00:11.201,395,485
2024-09-07 22:00:11.208,393,471
2024-09-07 22:00:11.217,390,457
2024-09-07 22:00:11.224,390,441
2024-09-07 22:00:11.232,386,430
2024-09-07 22:00:11.240,385,418
2024-09-07 22:00:11.248,383,408
2024-09-07 22:00:11.256,380,400
2024-09-07 22:00:11.264,380,391
2024-09-07 22:00:11.272,378,382
2024-09-07 22:00:11.281,378,376
2024-09-07 22:00:11.288,378,371
2024-09-07 22:00:11.296,378,367
2024-09-07 22:00:11.305,378,363
2024-09-07 22:00:11.312,375,361
2024-09-07 22:00:11.416,375,357
2024-09-07 22:00:11.424,375,353
2024-09-07 22:00:11.449,373,351
2024-09-07 22:00:11.528,373,347
2024-09-07 22:00:12.137,373,343
2024-09-07 22:00:12.143,373,340
2024-09-07 22:00:12.153,373,336
2024-09-07 22:00:12.161,373,330
2024-09-07 22:00:12.168,373,325
2024-09-07 22:00:12.176,373,317
2024-09-07 22:00:12.183,373,307
2024-09-07 22:00:12.192,373,297
2024-09-07 22:00:12.200,373,288
2024-09-07 22:00:12.208,373,281
2024-09-07 22:00:12.216,373,273
2024-09-07 22:00:12.224,373,267
2024-09-07 22:00:12.233,373,261
2024-09-07 22:00:12.240,373,257
2024-09-07 22:00:12.248,373,252
2024-09-07 22:00:13.152,373,253
2024-09-07 22:00:13.160,376,256
2024-09-07 22:00:13.168,379,260
2024-09-07 22:00:13.176,382,264
2024-09-07 22:00:13.184,384,266
2024-09-07 22:00:13.193,387,270
2024-09-07 22:00:13.200,391,275
2024-09-07 22:00:13.208,397,281
2024-09-07 22:00:13.216,404,288
2024-09-07 22:00:13.224,413,295
2024-09-07 22:00:13.231,423,304
2024-09-07 22:00:13.240,436,313
2024-09-07 22:00:13.248,448,323
2024-09-07 22:00:13.256,459,333
2024-09-07 22:00:13.264,472,344
2024-09-07 22:00:13.272,487,356
2024-09-07 22:00:13.280,499,366
2024-09-07 22:00:13.288,513,378
2024-09-07 22:00:13.296,529,390
2024-09-07 22:00:13.304,544,400
2024-09-07 22:00:13.312,559,411
2024-09-07 22:00:13.321,576,423
2024-09-07 22:00:13.328,593,434
2024-09-07 22:00:13.337,612,446
2024-09-07 22:00:13.344,629,460
2024-09-07 22:00:13.352,647,474
2024-09-07 22:00:13.360,664,489
2024-09-07 22:00:13.368,681,503
2024-09-07 22:00:13.376,696,515
2024-09-07 22:00:13.384,708,525
2024-09-07 22:00:13.392,718,533
2024-09-07 22:00:13.400,727,540
2024-09-07 22:00:13.409,734,546
2024-09-07 22:00:13.416,741,551
2024-09-07 22:00:13.425,748,558
2024-09-07 22:00:13.433,756,566
2024-09-07 22:00:13.441,763,575
2024-09-07 22:00:13.448,772,586
2024-09-07 22:00:13.456,781,598
2024-09-07 22:00:13.464,788,609
2024-09-07 22:00:13.472,794,618
2024-09-07 22:00:13.480,799,628
2024-09-07 22:00:13.489,804,635
2024-09-07 22:00:13.496,807,640
2024-09-07 22:00:13.505,809,645
2024-09-07 22:00:13.561,812,649
2024-09-07 22:00:13.568,814,651
2024-09-07 22:00:13.576,817,655
2024-09-07 22:00:13.584,821,661
2024-09-07 22:00:13.593,824,668
2024-09-07 22:00:13.600,829,675
2024-09-07 22:00:13.608,833,683
2024-09-07 22:00:13.616,837,688
2024-09-07 22:00:13.625,838,691
2024-09-07 22:00:13.632,841,694
2024-09-07 22:00:13.641,843,696
